% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% author.txt:
%   Defines shortcuts for authors.
%   NOTE: NEVER use names for authors
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% author names
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% A %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Aasa	Aasa, Anto
Abady	Abady, M.
Abay	Abay, Georg
Abbe	Abbe, E.
AbdelAty	Abdel-Aty, Mohamed A.
Abdulaal	Abdulaal, Mustafa
AbdulMassih	Abdul Massih, Michel
Abdulhai	Abdulhai, Baher
Abedin	Abedin, Zain U.
Abel	Abel, Troy
AbelR	Abel, Reuben
Abeysinghe	Abeysinghe, Tilak
AbouZeid	Abou-Zeid, Maya
Abraham	Abraham, J. E.
AbrahamD	Abraham, Dulcy
Abrahamse	Abrahamse, Wokje
Abrantes	Abrantes, Pedro A. L.
AbuLebdeh	Abu-Lebdeh, Ghassan
Abulghasemi	Abulghasemi, Farhad
Abunaim	Abunaim, Bilal
Achtnicht	Achtnicht, Martin
Ackermann	Ackermann, T.
Adey	Adey, Bryan
Adler	Adler, T. J.
AdlerJ	Adler, Jeffrey L.
Adomavicius	Adomavicius, Gediminas
Aerts	Aerts, Koen
Agarwal	Agarwal, Manish
AgarwalSK	Agarwal, S. K.
Agresti	Agresti, A.
Aguila	Aguila, Felipe
Aguirre	Aguirre, H.
Ahas	Ahas, Rein
Ahn	Ahn, Kyoungho
Aigner	Aigner, Dennis John
Airoldi	Airoldi, Edoardo M.
AjmoneMarsan	Ajmone-Marsan, Marco
Ajzen	Ajzen, Icek
Akamatsu	Akamatsu, T.
Akar	Akar, Gulsah
Akcelik	Akcelik, Rahmi
Akguen	Akgün, Vedat
AlamS	Alam, Saniul
Albers	Albers, Susanne
AlbertiM	Alberti, Marina
AlDeek	Al-Deek, Haitham M.
AlKhamis	AlKhamis, T.
AlKhudhairy	Al-Khudhairy, D.
Alam	Alam, M.
AlamSB	Alam, Sajjad B.
Alberini	Alberini, Anna
Albert	Albert, Réka
AlbertI	Albert, I.
Albrantes	Albrantes, Pedro A.
Albrecht	Albrecht, B.
AlbrechtCM	Albrecht, Carmen-Maria
Alderson	Alderson, David L.
Aldskogius	Aldskogius, Hans
Alexander	Alexander, Christopher
AlexanderL	Alexander, Lauren
Alexopoulos	Alexopoulos, Christos
Algers	Algers, Staffan
Ali	Ali, J.
AliA	Ali, Atizaz
AliSSM	Ali, S. Sheik Mohammed
Aliaga	Aliaga, Daniel G.
Allard	Allard, Bruno
Allenby	Allenby, Greg M.
Allsop	Allsop, Richard E.
Alonso	Alonso, William
AlosFerrer	Alós-Ferrer, Carlos
Alpern	Alpern, B.
Alrabady	Alrabady, Ansaf
Als	Als, Helmut
Alt	Alt, Bernhard
Alvarez	Alvarez, R.
Alver	Alver, Yalcin
Alves	Alves, Ana
Amacher	Amacher, Matthias
Ambrosino	Ambrosino, G.
Amdahl	Amdahl, Gene Myron
Amme	Amme, F.
Ammoser	Ammoser, Hendrik
Ampountolas	Ampountolas, Konstantinos
Ampt	Ampt, Elizabeth S.
Anable	Anable, Jillian
Anandalingam	Anandalingam, G.
Anas	Anas, Alex
Anda	Anda, Cuauhtemoc
Andan	Andan, Odile
Anders	Andres, Karl-Heinrich
Andersen	Andersen, Erling B.
Anderson	Anderson, Simon P.
AndersonJC	Anderson, James C.
AndersonJR	Anderson, John R.
AndersonR	Anderson, Rebekah
AndersonW	Anderson, William
AndersonWP	Anderson, William P.
Andersson	Andersson, G.
Andrade	Andrade, J. S.
Andre	André, M.
AndreBK	Andre, Brandon K.
Andres	Andres, Terry
Andrews	Andrews, Rick L.
Anez	Añez, J.
Ankomah	Ankomah, Paul K.
Anninou	Anninou, Artemis
Ansah	Ansah, J. A.
Anselin	Anselin, Luc
Anson	Anson, Doug
Antes	Antes, Ralf
Antille	Antille, N.
Antoniou	Antoniou, Constantinos
Apostolou	Apostolou, Dimitris
Appleyard	Appleyard, D.
Aptus	Aptus, Elias
Arbib	Arbib, Michael A.
Arce	Arce, Carlos
Arellano	Arellano, Manuel
