% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% publisher.txt:
%   Defines shortcuts for publishers.
%   NOTE: NEVER use names for publishers
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Publishers
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%


ACM	Association for Computing Machinery
ACMPress	ACM Press
AMA	American Marketing Association
Aashto	AASHTO
AashtoPublisher	American Association of State Highway and Transportation Officials
Abacus	Abacus Press
AcademicP	Academic Press
AddisonWesley	Addison-Wesley
Alba	Alba
AlfredKroener	Alfred Kröner Verlag
Allen	Allen and Unwin
AllynBacon	Allyn and Bacon
AmMathSoc	American Mathematical Society
Amerind	Amerind
ArtechHouse	Artech House
Ashgate	Ashgate
Avebury	Avebury
Berghahn	Berghahn Books
BGTeubner	B. G. Teubner
BHARC	Battelle Human Affairs Research Centers
BIS	BIS-Verlag
Blackwell	Blackwell
BWP	Blackwell Science
Beltz	Beltz
BoD	Books on Demand
Brill	Brill Academic Publishers
Brookings	The Brookings Institution
BrooksCole	Brooks/Cole
ButlerTanner	Butler and Tanner
CRCPress	CRC Press
CamUniPress	Cambridge University Press
CarlHanser	Carl Hanser Verlag
ChapmanHall 	Chapman \& Hall
ChapCRC	Chapman \& Hall/CRC
CT	Collana Transporti, Franco Angeli
ColUniPress	Columbia University Press
CroomHelm	Croom Helm Ltd
DRCOSUni	Disaster Research Center, Ohio State University
DUV	Deutscher Universitätsverlag
DVWG	DVWG-Schriftenreihe
Duke	Duke University
EIRASS	EIRASS
EPFLpress	EPFL Press
ETHZ	ETH Zürich
Earthscan	Earthscan
EdGirsberger	Editions Girsberger
EdinburghUP	Edinburgh University Press
EdwardElgar	Edward Elgar
Elsevier	Elsevier
Emerald	Emerald
Euca	Eucalyptus Press	
FarrarStraussGiroux	Farrar\, Strauss \& Giroux
FEMA	Federal Emergency Management Agency
FischerVerlag	Verkehrs-Verlag J. Fischer
FGSV	FGSV Verlag GmbH
FP	Free Press, a division of Macmillan Publishing Company
