%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% %%%	%%%	%%%
% key	eng	ger
% %%%	%%%	%%%
%
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Please include the key-eng-ger tripplet at the right place.
%       meaning: putting it under 'Adresses', 'Organisations',
%       'Universites, Schools', 'Departments, Institutes, Groups',
%       'Types of TechReports', or 'misc' AND set the line
%       in lexicographical order.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Avoid empty lines! Always put a % in front of empty lines
%       or comments.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%
% %%%%%
% Month
% %%%%%
jan	January	Januar
feb	February	Februar
mar	March	März
apr	April	April
may	May	Mai
jun	June	Juni
jul	July	Juli
aug	August	August
sep	September	September
oct	October	Oktober
nov	November	November
dec	December	Dezember
%
% %%%%%%%%
% Adresses
% %%%%%%%%
aachen	Aachen	Aachen
aalborg	Aalborg	Aalborg
aberdeen	Aberdeen	Aberdeen
abingdon	Abingdon	Abingdon
adelaide	Adelaide	Adelaide
addisababa	Addis Ababa	Addis Abeba
aldershot	Aldershot	Aldershot
ames	Ames	Ames
amherst	Amherst	Amherst
amsterdam	Amsterdam	Amsterdam
anchorage	Anchorage	Anchorage
ann-arbor	Ann Arbor	Ann Arbor
annecy	Annecy	Annecy
antwerp	Antwerp	Antwerpen
arcueil	Arcueil	Arcueil
arlington	Arlington	Arlington
ascona	Ascona	Ascona
atlanta	Atlanta	Atlanta
austin	Austin	Austin
avignon	Avignon	Avignon
badherrenalb	Bad Herrenalb	Bad Herrenalb
baldock	Baldock	Baldock
baltimore	Baltimore	Baltimore
bangalore	Bangalore	Bangalore
barcelona	Barcelona	Barcelona
basel	Basel	Basel
basingstoke	Basingstoke	Basingstoke
beijing	Beijing	Peking
berkeley	Berkeley	Berkeley
berkshire	Berkshire	Berkshire
belfast	Belfast	Belfast
belgrade            Belgrade            Belgrad
berlin	Berlin	Berlin
beverlyhills	Beverly Hills	Beverly Hills
bielefeld	Bielefeld	Bielefeld
bingley	Bingley	Bingley
bern	Berne	Bern
birmingham	Birmingham	Birmingham
bocaraton	Boca Raton	Boca Raton
bochum	Bochum	Bochum
bonn	Bonn	Bonn
borlaenge	Borlaenge	Borlänge
boston	Boston	Boston
bratislava	Bratislava	Bratislava
braunschweig	Braunschweig	Braunschweig
bremen	Bremen	Bremen
brighton	Brighton	Brighton
bristol	Bristol	Bristol
brno	Brno	Brno
bucharest	Bucharest	Bukarest
budapest	Budapest	Budapest
buenosaires	Buenos Aires	Buenos Aires
buffalo	Buffalo	Buffalo
burlington	Burlington	Burlington
busan	Busan	Busan
brugg	Brugg	Brugg
california	California	California
cambridge-uk	Cambridge	Cambridge
cambridge-ma	Cambridge	Cambridge
camposdojordao	Campos do Jordão	Campos do Jordão
canada	Canada	Kanada
canberra	Canberra	Canberra
capri	Capri	Capri
